cell_idx,x,y,w,h,label,confidence
0,229,244,23,617,?,0.0
1,252,244,589,617,?,0.0
2,841,244,21,617,?,0.0
3,862,244,600,617,?,0.0
4,1462,244,621,617,?,0.0
5,2083,244,634,617,?,0.0
6,2717,244,328,617,?,0.0
7,229,861,23,189,?,0.0
8,252,861,589,189,?,0.0
9,841,861,21,189,?,0.0
10,862,861,600,189,?,0.0
11,1462,861,621,189,?,0.0
12,2083,861,634,189,?,0.0
13,2717,861,328,189,?,0.0
14,229,1050,23,51,?,0.0
15,252,1050,589,51,?,0.0
16,841,1050,21,51,?,0.0
17,862,1050,600,51,?,0.0
18,1462,1050,621,51,?,0.0
19,2083,1050,634,51,?,0.0
20,2717,1050,328,51,?,0.0
21,229,1101,23,139,?,0.0
22,252,1101,589,139,?,0.0
23,841,1101,21,139,?,0.0
24,862,1101,600,139,?,0.0
25,1462,1101,621,139,?,0.0
26,2083,1101,634,139,?,0.0
27,2717,1101,328,139,?,0.0
28,229,1240,23,236,?,0.0
29,252,1240,589,236,?,0.0
30,841,1240,21,236,?,0.0
31,862,1240,600,236,?,0.0
32,1462,1240,621,236,?,0.0
33,2083,1240,634,236,?,0.0
34,2717,1240,328,236,?,0.0
35,229,1476,23,22,?,0.0
36,252,1476,589,22,?,0.0
37,841,1476,21,22,?,0.0
38,862,1476,600,22,?,0.0
39,1462,1476,621,22,?,0.0
40,2083,1476,634,22,?,0.0
41,2717,1476,328,22,?,0.0
42,229,1498,23,601,?,0.0
43,252,1498,589,601,?,0.0
44,841,1498,21,601,?,0.0
45,862,1498,600,601,?,0.0
46,1462,1498,621,601,?,0.0
47,2083,1498,634,601,?,0.0
48,2717,1498,328,601,?,0.0
49,229,2099,23,608,?,0.0
50,252,2099,589,608,?,0.0
51,841,2099,21,608,?,0.0
52,862,2099,600,608,?,0.0
53,1462,2099,621,608,?,0.0
54,2083,2099,634,608,?,0.0
55,2717,2099,328,608,?,0.0
56,229,2707,23,23,?,0.0
57,252,2707,589,23,?,0.0
58,841,2707,21,23,?,0.0
59,862,2707,600,23,?,0.0
60,1462,2707,621,23,?,0.0
61,2083,2707,634,23,?,0.0
62,2717,2707,328,23,?,0.0
63,229,2730,23,591,?,0.0
64,252,2730,589,591,?,0.0
65,841,2730,21,591,?,0.0
66,862,2730,600,591,?,0.0
67,1462,2730,621,591,?,0.0
68,2083,2730,634,591,?,0.0
69,2717,2730,328,591,?,0.0
70,229,3321,23,30,?,0.0
71,252,3321,589,30,?,0.0
72,841,3321,21,30,?,0.0
73,862,3321,600,30,?,0.0
74,1462,3321,621,30,?,0.0
75,2083,3321,634,30,?,0.0
76,2717,3321,328,30,?,0.0
77,229,3351,23,21,?,0.0
78,252,3351,589,21,?,0.0
79,841,3351,21,21,?,0.0
80,862,3351,600,21,?,0.0
81,1462,3351,621,21,?,0.0
82,2083,3351,634,21,?,0.0
83,2717,3351,328,21,?,0.0
84,229,3372,23,299,?,0.0
85,252,3372,589,299,?,0.0
86,841,3372,21,299,?,0.0
87,862,3372,600,299,?,0.0
88,1462,3372,621,299,?,0.0
89,2083,3372,634,299,?,0.0
90,2717,3372,328,299,?,0.0
91,229,3671,23,272,?,0.0
92,252,3671,589,272,?,0.0
93,841,3671,21,272,?,0.0
94,862,3671,600,272,?,0.0
95,1462,3671,621,272,?,0.0
96,2083,3671,634,272,?,0.0
97,2717,3671,328,272,?,0.0
98,229,3943,23,22,?,0.0
99,252,3943,589,22,?,0.0
100,841,3943,21,22,?,0.0
101,862,3943,600,22,?,0.0
102,1462,3943,621,22,?,0.0
103,2083,3943,634,22,?,0.0
104,2717,3943,328,22,?,0.0
105,229,3965,23,24,?,0.0
106,252,3965,589,24,?,0.0
107,841,3965,21,24,?,0.0
108,862,3965,600,24,?,0.0
109,1462,3965,621,24,?,0.0
110,2083,3965,634,24,?,0.0
111,2717,3965,328,24,?,0.0
